guess,ev,max guesses,pass,time
annul,3.77063,5,0,390.56668
asked,3.71577,5,0,17.14250
askew,3.76156,5,0,21.56675
asset,3.71577,5,0,16.40672
atoms,3.64708,5,0,35.43989
auger,3.63844,5,0,32.99424
aunty,3.64795,5,0,172.67533
awake,3.84708,5,0,81.41777
awoke,3.73434,5,0,33.89450
axled,3.72700,5,0,50.41573
babes,3.79006,5,0,21.27240
backs,3.72570,5,0,70.56434
bakes,3.71836,5,0,18.18667
balls,3.72138,5,0,120.11522
banks,3.71231,5,0,61.47559
based,3.63585,5,0,14.59920
basic,3.66652,5,0,50.15787
bates,3.61555,5,0,9.19515
bathe,3.62592,5,0,14.14869
batty,3.75853,5,0,187.51504
belch,3.67387,5,0,72.34022
belts,3.60994,5,0,31.46839
berry,3.74514,5,0,67.44519
bider,3.60130,5,0,47.58102
bikes,3.72225,5,0,56.18614
binge,3.65097,5,0,71.72486
birth,3.64492,5,0,54.08679
bitty,3.78834,5,0,258.03874
blond,3.60605,5,0,84.27572
blunt,3.62808,5,0,140.35089
bolts,3.61685,5,0,47.81038
boner,3.58488,5,0,24.52429
bones,3.61814,5,0,19.73230
boobs,3.93305,5,0,354.35413
botch,3.66350,5,0,86.81458
bound,3.66263,5,0,174.09615
brats,3.59222,5,0,16.91187
break,3.68337,5,0,27.01886
brief,3.64536,5,0,51.95885
brink,3.67257,5,0,113.78489
brush,3.66177,5,0,57.43553
build,3.66048,5,0,204.67521
bunny,3.86004,5,0,486.48466
cabin,3.62246,5,0,79.10719
cafes,3.64708,5,0,18.96437
cager,3.58618,5,0,17.80989
cagey,3.67127,5,0,22.03914
caked,3.66652,5,0,20.92336
calls,3.69158,5,0,138.06032
caper,3.57322,5,0,15.10555
caput,3.60648,5,0,78.56610
carte,3.51015,5,0,7.31481
cased,3.60389,5,0,15.10412
cases,3.73089,5,0,22.92958
catty,3.73564,5,0,225.26216
charm,3.62981,5,0,39.84964
chats,3.60086,5,0,64.77052
chest,3.60302,5,0,53.79738
chide,3.61987,5,0,85.99813
china,3.64665,5,0,132.66576
choir,3.60691,5,0,61.56910
chore,3.55983,5,0,34.53359
chose,3.59870,5,0,53.91114
cider,3.58877,5,0,37.92061
cigar,3.61728,5,0,36.41247
circa,3.74384,5,0,120.18694
clamp,3.62635,5,0,56.49092
clank,3.63801,5,0,73.15613
class,3.70238,5,0,139.45571
cloak,3.64881,5,0,61.96655
clone,3.53045,5,0,21.65688
clots,3.58013,5,0,46.47670
clove,3.62851,5,0,39.08921
clubs,3.67603,5,0,120.29848
cobra,3.62160,5,0,38.30258
cocoa,3.89978,5,0,407.62981
cones,3.56242,5,0,15.96127
coney,3.61123,5,0,49.48181
cooed,3.70281,5,0,68.60062
coped,3.61987,5,0,28.76604
cords,3.61296,5,0,20.91993
corer,3.65400,5,0,49.81969
corps,3.59654,5,0,29.52168
cough,3.71706,5,0,148.08241
crash,3.59093,5,0,20.69301
craze,3.67559,5,0,25.58383
credo,3.59914,5,0,26.65856
crepe,3.63629,5,0,45.93986
crier,3.66566,5,0,56.78150
crone,3.53175,5,0,24.38089
cross,3.71749,5,0,101.15076
crump,3.65097,5,0,68.01894
cured,3.59438,5,0,28.33892
cures,3.59827,5,0,18.68918
curio,3.64449,5,0,60.22833
curry,3.75594,5,0,169.50147
cyber,3.66263,5,0,27.13631
cynic,3.82765,5,0,453.72387
delve,3.74644,5,0,80.43255
depth,3.66091,5,0,47.88476
diary,3.62981,5,0,114.00041
dilly,3.76760,5,0,603.28135
doggo,3.95119,5,0,422.96280
doped,3.75940,5,0,65.10667
dorky,3.70713,5,0,198.11627
dozen,3.72657,5,0,64.62881
draft,3.61296,5,0,30.05422
drama,3.73348,5,0,83.77612
drift,3.63067,5,0,86.60869
droit,3.57279,5,0,77.36899
dross,3.73564,5,0,130.33835
dryer,3.73737,5,0,96.98933
duets,3.63888,5,0,66.19310
dummy,3.91922,5,0,463.72552
easel,3.64363,5,0,32.91597
ebbed,3.91231,5,0,87.78964
edify,3.74946,5,0,310.93074
ember,3.74600,5,0,66.45829
enact,3.58013,5,0,34.67096
enema,3.76587,5,0,69.82851
entry,3.64795,5,0,18.27234
equal,3.81598,5,0,184.71299
ethic,3.70626,5,0,77.43689
evict,3.70281,5,0,44.53375
exams,3.81512,5,0,78.66773
extra,3.75637,5,0,19.64706
fable,3.64838,5,0,30.88768
facer,3.62289,5,0,20.17102
faded,3.79611,5,0,28.37889
fairs,3.63585,5,0,47.56423
fakes,3.72873,5,0,19.22907
false,3.58920,5,0,26.56209
farce,3.57754,5,0,16.61214
farms,3.67041,5,0,42.88464
faxed,3.79352,5,0,28.22019
fazed,3.79611,5,0,31.55048
feast,3.58099,5,0,55.91682
feeds,3.76976,5,0,122.31839
fence,3.71274,5,0,52.59938
fetus,3.69849,5,0,93.09737
filer,3.61987,5,0,45.34307
files,3.63240,5,0,49.42533
filly,3.82030,5,0,796.97974
flick,3.73175,5,0,126.32142
floor,3.72916,5,0,191.32415
fluke,3.71102,5,0,88.56383
flush,3.69460,5,0,258.15300
folly,3.78704,5,0,610.50018
freer,3.81296,5,0,97.13307
frisk,3.69978,5,0,130.53123
frost,3.59093,5,0,37.26048
froze,3.74212,5,0,122.77116
fuels,3.67905,5,0,113.73588
funds,3.71922,5,0,225.35714
fused,3.69762,5,0,36.94941
fussy,3.86825,5,0,448.69155
gaunt,3.61857,5,0,97.22339
gazed,3.76760,5,0,33.71605
gecko,3.74644,5,0,50.33703
genie,3.69676,5,0,78.94892
ghoul,3.68553,5,0,218.49178
glare,3.56544,5,0,12.84317
glaze,3.71145,5,0,43.03036
glide,3.60605,5,0,83.29751
glory,3.63110,5,0,111.69739
gnome,3.63888,5,0,51.70886
